# Aftonbladet
Bush försvarar medierna
våld skjutvapen ökar
Samsungchefer Sydkorea åtalas
Profilen drabbad hjärtattack
Kyrka nekar nakenkatt
granat exploderade Malmö
Palmemordet inte löst
Bollnäs sänkte Hammarby
Fansen lyfte Hammarby

# DN
våld skjutvapen ökar
Fox medger fel
Bildt medla kidnappningsdrama
Trump öka försvarsutgifterna
Omfattande terrorrazzia Berlin
självmord ensamkommande barn
Internetbolag lovar strid
Svårt rekrytera poliser
Förundersökning inleds SD-politiker
Kim uppges avrättat

# SvD
Polisen ökande granatattacker
Stjärnorna svenska VM-truppen
läkarkontakt lösa sjukvårdskrisen
Söderfjell inte misstänkt
Samsungchefer åtalade Sydkorea
Trump äventyrar börsaffärer
Små rörelser börser
Fall japans industriproduktion
Regeringen tvingas backa
